taille QR
10 0.00030652000059490093
20 0.0003875400005199481
30 0.0007138799992389977
40 0.001661640000384068
50 0.003125980000186246
60 0.005421880000358215
70 0.007388039999932516
80 0.009490879999793833
90 0.010797199999797159
100 0.018004160001146373
200 0.030821300000388872
300 0.0326766599995608
400 0.04824118000105955
500 0.18800265999889235
600 0.13647768000082577
700 0.15691758000175468
800 0.2283668599993689
900 0.3611089599995466
1000 0.4885760599994683
taille LSTSQ
10 3.243999890401028e-05
20 2.9660000291187316e-05
30 3.9659999310970305e-05
40 3.699999942909926e-05
50 3.976000080001541e-05
60 4.5359999785432595e-05
70 4.979999939678237e-05
80 4.302000015741214e-05
90 4.135999915888533e-05
100 4.683999868575484e-05
200 0.0001394599996274337
300 0.00024026000028243288
400 0.0004509400001552422
500 0.000581239999155514
600 0.0008696800010511652
700 0.0012772800007951445
800 0.001457039999513654
900 0.001736660000460688
1000 0.0020976599997084124
